16:32:05.219637 [queue=1] packet #1, 127.0.0.1:62342 -> 127.0.0.1:8007, sz=11 is delayed for 300µs
16:32:05.220124 [queue=0] packet #1, 127.0.0.1:62342 -> 127.0.0.1:8007, sz=11 is delivered
16:32:05.220370 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:62342, sz=11 is delayed for 8.9ms
16:32:05.231824 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:62342, sz=11 is delivered
16:32:05.982322 [queue=1] packet #1, 127.0.0.1:61993 -> 127.0.0.1:8007, sz=11 is delayed for 3.9ms
16:32:05.987504 [queue=0] packet #1, 127.0.0.1:61993 -> 127.0.0.1:8007, sz=11 is delivered
16:32:05.987966 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:61993, sz=11 is delayed for 4.3ms
16:32:05.993657 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:61993, sz=11 is delivered
16:32:07.903214 [queue=1] packet #1, 127.0.0.1:54940 -> 127.0.0.1:8007, sz=11 is delayed for 4.8ms
16:32:07.909556 [queue=0] packet #1, 127.0.0.1:54940 -> 127.0.0.1:8007, sz=11 is delivered
16:32:07.910040 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:54940, sz=11 is delayed for 9.8ms
16:32:07.922609 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:54940, sz=11 is delivered
16:32:08.403663 [queue=1] packet #1, 127.0.0.1:61930 -> 127.0.0.1:8007, sz=11 is delayed for 700µs
16:32:08.404671 [queue=0] packet #1, 127.0.0.1:61930 -> 127.0.0.1:8007, sz=11 is delivered
16:32:08.405003 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:61930, sz=11 is delayed for 3.3ms
16:32:08.408586 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:61930, sz=11 is delivered
16:32:08.993167 [queue=1] packet #1, 127.0.0.1:59177 -> 127.0.0.1:8007, sz=11 is delayed for 6.5ms
16:32:09.001607 [queue=0] packet #1, 127.0.0.1:59177 -> 127.0.0.1:8007, sz=11 is delivered
16:32:09.002072 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:59177, sz=11 is delayed for 5.6ms
16:32:09.009412 [queue=0] packet #1, 127.0.0.1:8007 -> 127.0.0.1:59177, sz=11 is delivered
16:32:09.522376 [queue=1] packet #1, 127.0.0.1:57364 -> 127.0.0.1:8007, sz=11 is delayed for 4.1ms
16:32:09.527810 [queue=0] packet #1, 127.0.0.1:57364 -> 127.0.0.1:8007, sz=11 is delivered
16:32:09.528251 [queue=1] packet #1, 127.0.0.1:8007 -> 127.0.0.1:57364, sz=11 is delayed for 2.5ms
